SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.DE_DEHE051_PM1_dataGroup1,20210126000000,20210126000000,PM10,3.81125,µg/m3,background,rural,931.0000,DEHE051,Wasserkuppe,1106055.0984,6532920.9817,Gersfeld (Rhön),True
SPO.DE_DEHE052_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.22375,µg/m3,background,rural,811.0000,DEHE052,Kleiner Feldberg,940213.2135,6484801.2014,Glashütten,True
SPO.DE_DEHH008_PM1_dataGroup1,20210126000000,20210126000000,PM10,20.03,µg/m3,background,urban,15.0000,DEHH008,Hamburg Sternschanze,1109619.5485,7088037.9969,Hamburg,True
SPO.DE_DEHH015_PM1_dataGroup1,20210126000000,20210126000000,PM10,33.44,µg/m3,industrial,urban,4.0000,DEHH015,Hamburg Veddel,1115557.8868,7080379.8920,Hamburg,True
SPO.DE_DEHH016_PM1_dataGroup1,20210126000000,20210126000000,PM10,28.31875,µg/m3,industrial,urban,5.0000,DEHH016,Hamburg Billbrook,1122288.0405,7081458.1512,Hamburg,True
SPO.DE_DEHH026_PM1_dataGroup1,20210126000000,20210126000000,PM10,31.6775,µg/m3,traffic,urban,20.0000,DEHH026,Hamburg Stresemannstraße,1108434.4412,7087380.5162,Hamburg,True
SPO.DE_DEHH059_PM1_dataGroup1,20210126000000,20210126000000,PM10,29.49875,µg/m3,background,urban,3.0000,DEHH059,Hamburg Wilhelmsburg,1112145.0538,7077509.4932,Hamburg,True
SPO.DE_DEMV022_PM1_dataGroup1,20210126000000,20210126000000,PM10,29.855,µg/m3,traffic,urban,9.0000,DEMV022,Rostock-Holbeinplatz,1346916.0788,7187716.9641,Rostock,True
SPO.DE_DEMV024_PM1_dataGroup1,20210126000000,20210126000000,PM10,30.72625,µg/m3,background,rural,116.0000,DEMV024,Leizen,1387478.2296,7056650.7455,Leizen,True
SPO.DE_DEMV025_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.88,µg/m3,traffic,urban,8.0000,DEMV025,Stralsund-Knieperdamm,1456171.3723,7230847.9601,Stralsund,True
SPO.DE_DEMV026_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.635,µg/m3,background,rural,17.0000,DEMV026,Garz,1485240.0083,7231665.6237,Garz/Rügen,True
SPO.DE_DEMV028_PM1_dataGroup1,20210126000000,20210126000000,PM10,30.925,µg/m3,background,urban,5.0000,DEMV028,Wismar,1277498.0236,7151667.1963,Wismar,True
SPO-BELHB23_00005_100,20210126000000,20210126000000,PM10,17.76667,µg/m3,industrial,suburban,13.0000,BELHB23,40HB23 - HOBOKEN,483238.4733,6651472.9379,Antwerpen,True
SPO-BELHH08_00005_100,20210126000000,20210126000000,PM10,17.65556,µg/m3,background,urban,0.0000,BELHH08,40HH08 - HOUTHALEN-HELCHTEREN,598494.9981,6626882.4572,Houthalen-Helchteren,True
SPO-BELMN01_00005_100,20210126000000,20210126000000,PM10,13.87778,µg/m3,industrial,rural,10.0000,BELMN01,40MN01 - MENEN,346163.7500,6584841.7796,Menen,True
SPO-BELOB01_00005_100,20210126000000,20210126000000,PM10,13.82222,µg/m3,industrial,rural,44.0000,BELOB01,40OB01 - OOSTROZEBEK,368176.5030,6606665.4317,Oostrozebeke,True
SPO-BELOB02_00005_100,20210126000000,20210126000000,PM10,21.87778,µg/m3,industrial,rural,14.0000,BELOB02,40OB02 - WIELSBEKE,375838.1596,6606263.6518,Wielsbeke,True
SPO-BELRL01_00005_100,20210126000000,20210126000000,PM10,13.54444,µg/m3,background,urban,20.0000,BELRL01,40RL01 - ROESELARE,347445.4520,6613015.5013,Roeselare,True
SPO-BELSA04_00005_100,20210126000000,20210126000000,PM10,15.11111,µg/m3,industrial,rural,6.0000,BELSA04,40SA04 - Hoevenen,490236.3588,6677013.1039,Hoevenen,True
SPO-BETN029_00005_100,20210126000000,20210126000000,PM10,10.48889,µg/m3,background,rural,2.0000,BETN029,44N029 - HOUTEM,287462.8571,6624173.9914,Veurne,True
SPO-BETN035_00005_100,20210126000000,20210126000000,PM10,16.225,µg/m3,background,rural,55.0000,BETN035,42N035 - AARSCHOT,538521.1742,6617322.0137,Aarschot,True
SPO-BETN043_00005_100,20210126000000,20210126000000,PM10,14.22222,µg/m3,industrial,suburban,17.0000,BETN043,41N043 - HAREN,487910.8240,6600746.3816,Brussel=Bruxelles,True
SPO-BETN047_00005_100,20210126000000,20210126000000,PM10,12.88889,µg/m3,background,urban,0.0000,BETN047,42N047 - HASSELT,595916.4441,6609899.8951,Hasselt,True
SPO-BETN100_00005_100,20210126000000,20210126000000,PM10,7.437667,µg/m3,background,rural,225.0000,BETN100,43N100 - DOURBES,511486.6510,6462863.0456,Viroinval,True
SPO-BETN113_00005_100,20210126000000,20210126000000,PM10,4.215445,µg/m3,background,rural,510.0000,BETN113,43N113 - SAINT-ODE,622611.7949,6450958.1072,Sainte-Ode,True
SPO-BETN121_00005_100,20210126000000,20210126000000,PM10,6.493222,µg/m3,background,rural,430.0000,BETN121,43N121 - OFFAGNE,579127.1237,6425023.7897,Bertrix,True
SPO-BETN132_00005_100,20210126000000,20210126000000,PM10,8.993222,µg/m3,background,rural,375.0000,BETN132,43N132 - HABAY-LA-N.,626773.0094,6397801.4768,Habay,True
